county,precinct,office,district,party,candidate,votes,polls,abs,prov
Rankin,407 Pisgah,Secretary of State,,DEM,Charles E. Graham ,80,77,2,1
Rankin,407 Pisgah,Secretary of State,,REP,Delbert Hosemann ,170,165,4,1
Rankin,407 Pisgah,Secretary of State,,REF,Randy Walker ,3,3,0,0
Rankin,407 Pisgah,Secretary of State,,,Write-in,0,0,0,0
Rankin,407 Pisgah,Attorney General,,DEM,Jim Hood ,108,104,3,1
Rankin,407 Pisgah,Attorney General,,REP,Mike Hurst ,147,143,3,1
Rankin,407 Pisgah,Attorney General,,,Write-in,0,0,0,0
Rankin,407 Pisgah,State Auditor,,REP,Stacey E. Pickering ,173,168,4,1
Rankin,407 Pisgah,State Auditor,,DEM,Jocelyn  Pepper Pritchett,79,76,2,1
Rankin,407 Pisgah,State Auditor,,REF,Lajena Walley ,3,3,0,0
Rankin,407 Pisgah,State Auditor,,,Write-in,0,0,0,0
Rankin,407 Pisgah,State Treasurer,,REP,Lynn Fitch ,185,179,4,2
Rankin,407 Pisgah,State Treasurer,,REF,Viola V. McFarland ,36,36,0,0
Rankin,407 Pisgah,State Treasurer,,,Write-in,0,0,0,0
Rankin,407 Pisgah,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,80,77,2,1
Rankin,407 Pisgah,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,169,164,4,1
Rankin,407 Pisgah,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,6,6,0,0
Rankin,407 Pisgah,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,407 Pisgah,Commissioner of Insurance,,REP,Mike Chaney ,207,201,4,2
Rankin,407 Pisgah,Commissioner of Insurance,,,Write-in,1,1,0,0
Rankin,407 Pisgah,State Senate,20,REP,Josh Harkins ,199,193,4,2
Rankin,407 Pisgah,State Senate,20,,Write-in,1,1,0,0
Rankin,407 Pisgah,State House,75,REP,Vance Cox ,126,122,3,1
Rankin,407 Pisgah,State House,75,DEM,Tom Miles ,129,125,3,1
Rankin,407 Pisgah,State House,75,,Write-in,0,0,0,0
Rankin,408 Oakdale,Voters,,,BALLOTS CAST ,"1,244","1,194",38,12
Rankin,408 Oakdale HD74,Governor HD74,,REP,Phil Bryant ,886,853,27,6
Rankin,408 Oakdale HD74,Governor HD74,,DEM,Robert Gray ,150,144,4,2
Rankin,408 Oakdale HD74,Governor HD74,,REF,Shawn O'Hara ,14,14,0,0
Rankin,408 Oakdale HD74,Governor HD74,,,Write-in,3,3,0,0
Rankin,408 Oakdale HD75,Governor HD75,,REP,Phil Bryant ,107,100,7,0
Rankin,408 Oakdale HD75,Governor HD75,,DEM,Robert Gray ,76,73,0,3
Rankin,408 Oakdale HD75,Governor HD75,,REF,Shawn O'Hara ,2,2,0,0
Rankin,408 Oakdale HD75,Governor HD75,,,Write-in,0,0,0,0
Rankin,408 Oakdale HD74,Lt Governor HD74,,DEM,Tim Johnson ,186,177,7,2
Rankin,408 Oakdale HD74,Lt Governor HD74,,REP,Tate Reeves ,829,800,23,6
Rankin,408 Oakdale HD74,Lt Governor HD74,,LIB,Ron Williams ,19,18,1,0
Rankin,408 Oakdale HD74,Lt Governor HD74,,REF,Rosa B. Williams ,8,8,0,0
Rankin,408 Oakdale HD74,Lt Governor HD74,,,Write-in,4,4,0,0
Rankin,408 Oakdale HD75,Lt Governor HD75,,DEM,Tim Johnson ,87,85,0,2
Rankin,408 Oakdale HD75,Lt Governor HD75,,REP,Tate Reeves ,94,86,7,1
Rankin,408 Oakdale HD75,Lt Governor HD75,,LIB,Ron Williams ,1,1,0,0
Rankin,408 Oakdale HD75,Lt Governor HD75,,REF,Rosa B. Williams ,1,1,0,0
Rankin,408 Oakdale HD75,Lt Governor HD75,,,Write-in,1,1,0,0
Rankin,408 Oakdale HD74,Secretary HD74,,DEM,Charles E. Graham ,138,132,4,2
Rankin,408 Oakdale HD74,Secretary HD74,,REP,Delbert Hosemann ,905,872,27,6
Rankin,408 Oakdale HD74,Secretary HD74,,REF,Randy Walker ,11,11,0,0
Rankin,408 Oakdale HD74,Secretary HD74,,,Write-in,0,0,0,0
Rankin,408 Oakdale HD75,Secretary HD75,,DEM,Charles E. Graham ,78,75,0,3
Rankin,408 Oakdale HD75,Secretary HD75,,REP,Delbert Hosemann ,104,97,7,0
Rankin,408 Oakdale HD75,Secretary HD75,,REF,Randy Walker ,2,2,0,0
Rankin,408 Oakdale HD75,Secretary HD75,,,Write-in,0,0,0,0
Rankin,408 Oakdale HD74,Attorney General,,DEM,Jim Hood ,319,306,10,3
Rankin,408 Oakdale HD74,Attorney General,,REP,Mike Hurst ,731,705,21,5
Rankin,408 Oakdale HD74,Attorney General,,,Write-in,2,2,0,0
Rankin,408 Oakdale HD75,Attorney General,,DEM,Jim Hood ,99,96,0,3
Rankin,408 Oakdale HD75,Attorney General,,REP,Mike Hurst ,85,78,7,0
Rankin,408 Oakdale HD75,Attorney General,,,Write-in,0,0,0,0
Rankin,408 Oakdale HD74,State Auditor,,REP,Stacey E. Pickering ,876,843,27,6
Rankin,408 Oakdale HD74,State Auditor,,DEM,Jocelyn  Pepper Pritchett,160,155,3,2
Rankin,408 Oakdale HD74,State Auditor,,REF,Lajena Walley ,9,8,1,0
Rankin,408 Oakdale HD74,State Auditor,,,Write-in,1,1,0,0
Rankin,408 Oakdale HD75,State Auditor,,REP,Stacey E. Pickering ,102,95,7,0
Rankin,408 Oakdale HD75,State Auditor,,DEM,Jocelyn  Pepper Pritchett,81,78,0,3
Rankin,408 Oakdale HD75,State Auditor,,REF,Lajena Walley ,1,1,0,0
Rankin,408 Oakdale HD75,State Auditor,,,Write-in,0,0,0,0
Rankin,408 Oakdale HD74,State Treasurer,,REP,Lynn Fitch ,930,894,29,7
Rankin,408 Oakdale HD74,State Treasurer,,REF,Viola V. McFarland ,94,92,2,0
Rankin,408 Oakdale HD74,State Treasurer,,,Write-in,5,5,0,0
Rankin,408 Oakdale HD75,State Treasurer,,REP,Lynn Fitch ,127,119,7,1
Rankin,408 Oakdale HD75,State Treasurer,,REF,Viola V. McFarland ,26,26,0,0
Rankin,408 Oakdale HD75,State Treasurer,,,Write-in,3,3,0,0
Rankin,408 Oakdale HD74,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,134,128,4,2
Rankin,408 Oakdale HD74,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,895,862,27,6
Rankin,408 Oakdale HD74,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,15,15,0,0
Rankin,408 Oakdale HD74,Commissioner of Agriculture & Commerce,,,Write-in,1,1,0,0
Rankin,408 Oakdale HD75,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,80,77,0,3
Rankin,408 Oakdale HD75,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,102,95,7,0
Rankin,408 Oakdale HD75,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,1,1,0,0
Rankin,408 Oakdale HD75,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,408 Oakdale HD74,Commissioner of Insurance,,REP,Mike Chaney ,987,951,29,7
Rankin,408 Oakdale HD74,Commissioner of Insurance,,,Write-in,7,7,0,0
Rankin,408 Oakdale HD75,Commissioner of Insurance,,REP,Mike Chaney ,135,128,7,0
Rankin,408 Oakdale HD75,Commissioner of Insurance,,,Write-in,2,2,0,0
Rankin,408 Oakdale SD20,State Senate,20,REP,Josh Harkins ,"1,115","1,071",37,7
Rankin,408 Oakdale SD20,State Senate,20,,Write-in,5,5,0,0
Rankin,408 Oakdale HD74,State House,74,REP,Mark Baker ,957,922,29,6
Rankin,408 Oakdale HD74,State House,74,,Write-in,2,2,0,0
Rankin,408 Oakdale HD75,State House,75,REP,Vance Cox ,95,88,7,0
Rankin,408 Oakdale HD75,State House,75,DEM,Tom Miles ,89,86,0,3
Rankin,408 Oakdale HD75,State House,75,,Write-in,0,0,0,0
Rankin,409 Shiloh,Voters,,,BALLOTS CAST,180,177,2,1
Rankin,409 Shiloh HD60,Governor ,,REP,Phil Bryant ,122,120,2,0
Rankin,409 Shiloh HD60,Governor ,,DEM,Robert Gray ,46,45,0,1
Rankin,409 Shiloh HD60,Governor ,,REF,Shawn O'Hara ,5,5,0,0
Rankin,409 Shiloh HD60,Governor ,,,Write-in,0,0,0,0
Rankin,409 Shiloh HD75,Governor ,,REP,Phil Bryant ,3,3,0,0
Rankin,409 Shiloh HD75,Governor ,,DEM,Robert Gray ,0,0,0,0
Rankin,409 Shiloh HD75,Governor ,,REF,Shawn O'Hara ,0,0,0,0
Rankin,409 Shiloh HD75,Governor ,,,Write-in,0,0,0,0
Rankin,409 Shiloh HD60,Lt Governor ,,DEM,Tim Johnson ,59,57,1,1
Rankin,409 Shiloh HD60,Lt Governor ,,REP,Tate Reeves ,109,108,1,0
Rankin,409 Shiloh HD60,Lt Governor ,,LIB,Ron Williams ,5,5,0,0
Rankin,409 Shiloh HD60,Lt Governor ,,REF,Rosa B. Williams ,1,1,0,0
Rankin,409 Shiloh HD60,Lt Governor ,,,Write-in,1,1,0,0
Rankin,409 Shiloh HD75,Lt Governor ,,DEM,Tim Johnson ,0,0,0,0
Rankin,409 Shiloh HD75,Lt Governor ,,REP,Tate Reeves ,3,3,0,0
Rankin,409 Shiloh HD75,Lt Governor ,,LIB,Ron Williams ,0,0,0,0
Rankin,409 Shiloh HD75,Lt Governor ,,REF,Rosa B. Williams ,0,0,0,0
Rankin,409 Shiloh HD75,Lt Governor ,,,Write-in,0,0,0,0
Rankin,409 Shiloh HD60,Secretary ,,DEM,Charles E. Graham ,51,50,0,1
Rankin,409 Shiloh HD60,Secretary ,,REP,Delbert Hosemann ,122,120,2,0
Rankin,409 Shiloh HD60,Secretary ,,REF,Randy Walker ,4,4,0,0
Rankin,409 Shiloh HD60,Secretary ,,,Write-in,0,0,0,0
Rankin,409 Shiloh HD60,Secretary ,,DEM,Charles E. Graham ,0,0,0,0
Rankin,409 Shiloh HD75,Secretary ,,REP,Delbert Hosemann ,3,3,0,0
Rankin,409 Shiloh HD75,Secretary ,,REF,Randy Walker ,0,0,0,0
Rankin,409 Shiloh HD75,Secretary ,,,Write-in,0,0,0,0
Rankin,409 Shiloh HD60,Attorney ,,DEM,Jim Hood ,86,85,0,1
Rankin,409 Shiloh HD60,Attorney ,,REP,Mike Hurst ,89,87,2,0
Rankin,409 Shiloh HD60,Attorney ,,,Write-in,0,0,0,0
Rankin,409 Shiloh HD75,Attorney ,,DEM,Jim Hood ,1,1,0,0
Rankin,409 Shiloh HD75,Attorney ,,REP,Mike Hurst ,2,2,0,0
Rankin,409 Shiloh HD75,Attorney ,,,Write-in,0,0,0,0
Rankin,409 Shiloh HD60,Auditor ,,REP,Stacey E. Pickering ,120,118,2,0
Rankin,409 Shiloh HD60,Auditor ,,DEM,Jocelyn  Pepper Pritchett,49,48,0,1
Rankin,409 Shiloh HD60,Auditor ,,REF,Lajena Walley ,6,6,0,0
Rankin,409 Shiloh HD60,Auditor ,,,Write-in,0,0,0,0
Rankin,409 Shiloh HD75,Auditor ,,REP,Stacey E. Pickering ,3,3,0,0
Rankin,409 Shiloh HD75,Auditor ,,DEM,Jocelyn  Pepper Pritchett,0,0,0,0
Rankin,409 Shiloh HD75,Auditor ,,REF,Lajena Walley ,0,0,0,0
Rankin,409 Shiloh HD75,Auditor ,,,Write-in,0,0,0,0
Rankin,409 Shiloh HD60,Treasurer ,,REP,Lynn Fitch ,126,124,2,0
Rankin,409 Shiloh HD60,Treasurer ,,REF,Viola V. McFarland ,23,22,0,1
Rankin,409 Shiloh HD60,Treasurer ,,,Write-in,1,1,0,0
Rankin,409 Shiloh HD75,Treasurer ,,REP,Lynn Fitch ,3,3,0,0
Rankin,409 Shiloh HD75,Treasurer ,,REF,Viola V. McFarland ,0,0,0,0
Rankin,409 Shiloh HD75,Treasurer ,,,Write-in,0,0,0,0
Rankin,409 Shiloh HD60,Agriculture ,,DEM,Addie Lee Green ,48,47,0,1
Rankin,409 Shiloh HD60,Agriculture ,,REP,Cindy Hyde-Smith ,122,120,2,0
Rankin,409 Shiloh HD60,Agriculture ,,REF,Cathy L. Toole ,6,6,0,0
Rankin,409 Shiloh HD60,Agriculture ,,,Write-in,0,0,0,0
Rankin,409 Shiloh HD75,Agriculture ,,DEM,Addie Lee Green ,0,0,0,0
Rankin,409 Shiloh HD75,Agriculture ,,REP,Cindy Hyde-Smith ,3,3,0,0
Rankin,409 Shiloh HD75,Agriculture ,,REF,Cathy L. Toole ,0,0,0,0
Rankin,409 Shiloh HD75,Agriculture ,,,Write-in,0,0,0,0
Rankin,409 Shiloh HD60,Insurance ,,REP,Mike Chaney ,146,143,2,1
Rankin,409 Shiloh HD60,Insurance ,,,Write-in,1,1,0,0
Rankin,409 Shiloh HD75,Insurance ,,REP,Mike Chaney ,3,3,0,0
Rankin,409 Shiloh HD75,Insurance ,,,Write-in,0,0,0,0
Rankin,409 Shiloh,State Senate,20,REP,Josh Harkins ,3,3,0,0
Rankin,409 Shiloh,State Senate,20,,Write-in,0,0,0,0
Rankin,409 Shiloh,State Senate,30,REP,Dean Kirby ,8,8,0,0
Rankin,409 Shiloh,State Senate,30,,Write-in,0,0,0,0
Rankin,409 Shiloh,State Senate,35,REP,Chris Caughman ,134,131,2,1
Rankin,409 Shiloh,State Senate,35,,Write-in,2,2,0,0
Rankin,409 Shiloh HD60,House HD60,,REP,John L. Moore ,146,143,2,1
Rankin,409 Shiloh HD60,House HD60,,,Write-in,3,3,0,0
Rankin,409 Shiloh HD75,House HD75,,REP,Vance Cox ,3,3,0,0
Rankin,409 Shiloh HD75,House HD75,,DEM,Tom Miles ,0,0,0,0
Rankin,409 Shiloh HD75,House HD75,,,Write-in,0,0,0,0
Rankin,410 Crossroads,Voters,,,BALLOTS CAST,337,330,4,3
Rankin,410 Crossroads,Governor,,REP,Phil Bryant ,306,300,4,2
Rankin,410 Crossroads,Governor,,DEM,Robert Gray ,28,28,0,0
Rankin,410 Crossroads,Governor,,REF,Shawn O'Hara ,3,2,0,1
Rankin,410 Crossroads,Governor,,,Write-in,0,0,0,0
Rankin,410 Crossroads,Lieutenant Governor,,DEM,Tim Johnson ,25,23,0,2
Rankin,410 Crossroads,Lieutenant Governor,,REP,Tate Reeves ,300,295,4,1
Rankin,410 Crossroads,Lieutenant Governor,,LIB,Ron Williams ,10,10,0,0
Rankin,410 Crossroads,Lieutenant Governor,,REF,Rosa B. Williams ,1,1,0,0
Rankin,410 Crossroads,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,410 Crossroads,Secretary of State,,DEM,Charles E. Graham ,27,26,0,1
Rankin,410 Crossroads,Secretary of State,,REP,Delbert Hosemann ,301,296,4,1
Rankin,410 Crossroads,Secretary of State,,REF,Randy Walker ,7,6,0,1
Rankin,410 Crossroads,Secretary of State,,,Write-in,0,0,0,0
Rankin,410 Crossroads,Attorney General,,DEM,Jim Hood ,86,83,1,2
Rankin,410 Crossroads,Attorney General,,REP,Mike Hurst ,249,245,3,1
Rankin,410 Crossroads,Attorney General,,,Write-in,0,0,0,0
Rankin,410 Crossroads,State Auditor,,REP,Stacey E. Pickering ,311,305,4,2
Rankin,410 Crossroads,State Auditor,,DEM,Jocelyn  Pepper Pritchett,21,20,0,1
Rankin,410 Crossroads,State Auditor,,REF,Lajena Walley ,4,4,0,0
Rankin,410 Crossroads,State Auditor,,,Write-in,0,0,0,0
Rankin,410 Crossroads,State Treasurer,,REP,Lynn Fitch ,322,316,3,3
Rankin,410 Crossroads,State Treasurer,,REF,Viola V. McFarland ,13,13,0,0
Rankin,410 Crossroads,State Treasurer,,,Write-in,0,0,0,0
Rankin,410 Crossroads,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,21,21,0,0
Rankin,410 Crossroads,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,307,300,4,3
Rankin,410 Crossroads,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,4,4,0,0
Rankin,410 Crossroads,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,410 Crossroads,Commissioner of Insurance,,REP,Mike Chaney ,327,320,4,3
Rankin,410 Crossroads,Commissioner of Insurance,,,Write-in,0,0,0,0
Rankin,410 Crossroads,State Senate,20,REP,Josh Harkins ,324,317,4,3
Rankin,410 Crossroads,State Senate,20,,Write-in,0,0,0,0
Rankin,410 Crossroads,State House,60,REP,John L. Moore ,318,311,4,3
Rankin,410 Crossroads,State House,60,,Write-in,2,2,0,0
Rankin,411 Leesburg,Voters,,,BALLOTS CAST,316,304,7,5
Rankin,411 Leesburg,Governor,,REP,Phil Bryant ,298,286,7,5
Rankin,411 Leesburg,Governor,,DEM,Robert Gray ,13,13,0,0
Rankin,411 Leesburg,Governor,,REF,Shawn O'Hara ,1,1,0,0
Rankin,411 Leesburg,Governor,,,Write-in,1,1,0,0
Rankin,411 Leesburg,Lieutenant Governor,,DEM,Tim Johnson ,27,26,0,1
Rankin,411 Leesburg,Lieutenant Governor,,REP,Tate Reeves ,285,274,7,4
Rankin,411 Leesburg,Lieutenant Governor,,LIB,Ron Williams ,1,1,0,0
Rankin,411 Leesburg,Lieutenant Governor,,REF,Rosa B. Williams ,0,0,0,0
Rankin,411 Leesburg,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,411 Leesburg,Secretary of State,,DEM,Charles E. Graham ,14,14,0,0
Rankin,411 Leesburg,Secretary of State,,REP,Delbert Hosemann ,296,284,7,5
Rankin,411 Leesburg,Secretary of State,,REF,Randy Walker ,3,3,0,0
Rankin,411 Leesburg,Secretary of State,,,Write-in,0,0,0,0
Rankin,411 Leesburg,Attorney General,,DEM,Jim Hood ,69,68,0,1
Rankin,411 Leesburg,Attorney General,,REP,Mike Hurst ,244,233,7,4
Rankin,411 Leesburg,Attorney General,,,Write-in,0,0,0,0
Rankin,411 Leesburg,State Auditor,,REP,Stacey E. Pickering ,299,287,7,5
Rankin,411 Leesburg,State Auditor,,DEM,Jocelyn  Pepper Pritchett,13,13,0,0
Rankin,411 Leesburg,State Auditor,,REF,Lajena Walley ,0,0,0,0
Rankin,411 Leesburg,State Auditor,,,Write-in,0,0,0,0
Rankin,411 Leesburg,State Treasurer,,REP,Lynn Fitch ,303,291,7,5
Rankin,411 Leesburg,State Treasurer,,REF,Viola V. McFarland ,7,7,0,0
Rankin,411 Leesburg,State Treasurer,,,Write-in,0,0,0,0
Rankin,411 Leesburg,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,15,15,0,0
Rankin,411 Leesburg,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,298,286,7,5
Rankin,411 Leesburg,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,1,1,0,0
Rankin,411 Leesburg,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,411 Leesburg,Commissioner of Insurance,,REP,Mike Chaney ,303,291,7,5
Rankin,411 Leesburg,Commissioner of Insurance,,,Write-in,0,0,0,0
Rankin,411 Leesburg,State Senate,20,REP,Josh Harkins ,299,289,5,5
Rankin,411 Leesburg,State Senate,20,,Write-in,0,0,0,0
Rankin,411 Leesburg,State House,75,REP,Vance Cox ,182,177,1,4
Rankin,411 Leesburg,State House,75,DEM,Tom Miles ,133,126,6,1
Rankin,411 Leesburg,State House,75,,Write-in,0,0,0,0
Rankin,412 N Brandon,Voters,,,BALLOTS CAST,"1,078","1,025",45,8
Rankin,412 N Brandon HD60,Governor ,,REP,Phil Bryant ,444,424,16,4
Rankin,412 N Brandon HD60,Governor ,,DEM,Robert Gray ,72,71,1,0
Rankin,412 N Brandon HD60,Governor ,,REF,Shawn O'Hara ,4,4,0,0
Rankin,412 N Brandon HD60,Governor ,,,Write-in,1,1,0,0
Rankin,412 N Brandon HD74,Governor ,,REP,Phil Bryant ,343,323,17,3
Rankin,412 N Brandon HD74,Governor ,,DEM,Robert Gray ,190,180,9,1
Rankin,412 N Brandon HD74,Governor ,,REF,Shawn O'Hara ,11,11,0,0
Rankin,412 N Brandon HD74,Governor ,,,Write-in,0,0,0,0
Rankin,412 N Brandon HD60,Lt Governor ,,DEM,Tim Johnson ,85,82,3,0
Rankin,412 N Brandon HD60,Lt Governor ,,REP,Tate Reeves ,418,399,15,4
Rankin,412 N Brandon HD60,Lt Governor ,,LIB,Ron Williams ,13,13,0,0
Rankin,412 N Brandon HD60,Lt Governor ,,REF,Rosa B. Williams ,1,1,0,0
Rankin,412 N Brandon HD60,Lt Governor ,,,Write-in,3,3,0,0
Rankin,412 N Brandon HD74,Lt Governor ,,DEM,Tim Johnson ,208,200,8,0
Rankin,412 N Brandon HD74,Lt Governor ,,REP,Tate Reeves ,321,300,17,4
Rankin,412 N Brandon HD74,Lt Governor ,,LIB,Ron Williams ,12,11,1,0
Rankin,412 N Brandon HD74,Lt Governor ,,REF,Rosa B. Williams ,4,4,0,0
Rankin,412 N Brandon HD74,Lt Governor ,,,Write-in,0,0,0,0
Rankin,412 N Brandon HD60,Secretary ,,DEM,Charles E. Graham ,65,64,1,0
Rankin,412 N Brandon HD60,Secretary ,,REP,Delbert Hosemann ,450,429,17,4
Rankin,412 N Brandon HD60,Secretary ,,REF,Randy Walker ,5,5,0,0
Rankin,412 N Brandon HD60,Secretary ,,,Write-in,0,0,0,0
Rankin,412 N Brandon HD74,Secretary ,,DEM,Charles E. Graham ,197,186,10,1
Rankin,412 N Brandon HD74,Secretary ,,REP,Delbert Hosemann ,339,320,16,3
Rankin,412 N Brandon HD74,Secretary ,,REF,Randy Walker ,8,8,0,0
Rankin,412 N Brandon HD74,Secretary ,,,Write-in,1,1,0,0
Rankin,412 N Brandon HD60,Attorney ,,DEM,Jim Hood ,149,145,4,0
Rankin,412 N Brandon HD60,Attorney ,,REP,Mike Hurst ,373,355,14,4
Rankin,412 N Brandon HD60,Attorney ,,,Write-in,1,1,0,0
Rankin,412 N Brandon HD74,Attorney ,,DEM,Jim Hood ,272,256,15,1
Rankin,412 N Brandon HD74,Attorney ,,REP,Mike Hurst ,277,263,11,3
Rankin,412 N Brandon HD74,Attorney ,,,Write-in,0,0,0,0
Rankin,412 N Brandon HD60,Auditor ,,REP,Stacey E. Pickering ,427,407,16,4
Rankin,412 N Brandon HD60,Auditor ,,DEM,Jocelyn  Pepper Pritchett,89,87,2,0
Rankin,412 N Brandon HD60,Auditor ,,REF,Lajena Walley ,4,4,0,0
Rankin,412 N Brandon HD60,Auditor ,,,Write-in,1,1,0,0
Rankin,412 N Brandon HD74,Auditor ,,REP,Stacey E. Pickering ,358,339,16,3
Rankin,412 N Brandon HD74,Auditor ,,DEM,Jocelyn  Pepper Pritchett,185,174,10,1
Rankin,412 N Brandon HD74,Auditor ,,REF,Lajena Walley ,2,2,0,0
Rankin,412 N Brandon HD74,Auditor ,,,Write-in,1,0,1,0
Rankin,412 N Brandon HD60,Treasurer ,,REP,Lynn Fitch ,471,450,17,4
Rankin,412 N Brandon HD60,Treasurer ,,REF,Viola V. McFarland ,36,36,0,0
Rankin,412 N Brandon HD60,Treasurer ,,,Write-in,2,2,0,0
Rankin,412 N Brandon HD74,Treasurer ,,REP,Lynn Fitch ,418,393,21,4
Rankin,412 N Brandon HD74,Treasurer ,,REF,Viola V. McFarland ,70,68,2,0
Rankin,412 N Brandon HD74,Treasurer ,,,Write-in,0,0,0,0
Rankin,412 N Brandon HD60,Agriculture ,,DEM,Addie Lee Green ,74,72,2,0
Rankin,412 N Brandon HD60,Agriculture ,,REP,Cindy Hyde-Smith ,443,423,16,4
Rankin,412 N Brandon HD60,Agriculture ,,REF,Cathy L. Toole ,4,4,0,0
Rankin,412 N Brandon HD60,Agriculture ,,,Write-in,0,0,0,0
Rankin,412 N Brandon HD74,Agriculture ,,DEM,Addie Lee Green ,185,173,10,2
Rankin,412 N Brandon HD74,Agriculture ,,REP,Cindy Hyde-Smith ,352,333,17,2
Rankin,412 N Brandon HD74,Agriculture ,,REF,Cathy L. Toole ,7,7,0,0
Rankin,412 N Brandon HD74,Agriculture ,,,Write-in,0,0,0,0
Rankin,412 N Brandon HD60,Insurance ,,REP,Mike Chaney ,494,473,17,4
Rankin,412 N Brandon HD60,Insurance ,,,Write-in,3,3,0,0
Rankin,412 N Brandon HD74,Insurance ,,REP,Mike Chaney ,435,413,18,4
Rankin,412 N Brandon HD74,Insurance ,,,Write-in,9,6,3,0
Rankin,412 N Brandon,State Senate,20,REP,Josh Harkins ,432,409,19,4
Rankin,412 N Brandon,State Senate,20,,Write-in,7,5,2,0
Rankin,412 N Brandon,State Senate,30,REP,Dean Kirby ,493,472,17,4
Rankin,412 N Brandon,State Senate,30,,Write-in,2,2,0,0
Rankin,412 N Brandon HD60,House HD60,60,REP,John L. Moore ,485,464,17,4
Rankin,412 N Brandon HD60,House HD60,60,,Write-in,4,4,0,0
Rankin,412 N Brandon HD74,State House,74,REP,Mark Baker ,424,402,18,4
Rankin,412 N Brandon HD74,State House,74,,Write-in,9,7,2,0
Rankin,413 E Crossgate,Voters,,,BALLOTS CAST,"1,521","1,456",50,15
Rankin,413 E Crossgate HD60,Governor ,,REP,Phil Bryant ,183,171,9,3
Rankin,413 E Crossgate HD60,Governor ,,DEM,Robert Gray ,19,16,3,0
Rankin,413 E Crossgate HD60,Governor ,,REP,Shawn O'Hara ,0,0,0,0
Rankin,413 E Crossgate HD60,Governor ,,,Write-in,1,1,0,0
Rankin,413 E Crossgate HD74,Governor ,,REP,Phil Bryant ,"1,154","1,112",34,8
Rankin,413 E Crossgate HD74,Governor ,,DEM,Robert Gray ,121,116,2,3
Rankin,413 E Crossgate HD74,Governor ,,REF,Shawn O'Hara ,18,18,0,0
Rankin,413 E Crossgate HD74,Governor ,,,Write-in,3,2,0,1
Rankin,413 E Crossgate HD60,Lt Governor ,,DEM,Tim Johnson ,29,24,3,2
Rankin,413 E Crossgate HD60,Lt Governor ,,REP,Tate Reeves ,172,162,9,1
Rankin,413 E Crossgate HD60,Lt Governor ,,LIB,Ron Williams ,4,4,0,0
Rankin,413 E Crossgate HD60,Lt Governor ,,REF,Rosa B. Williams ,0,0,0,0
Rankin,413 E Crossgate HD60,Lt Governor ,,,Write-in,0,0,0,0
Rankin,413 E Crossgate HD74,Lt Governor ,,DEM,Tim Johnson ,178,170,5,3
Rankin,413 E Crossgate HD74,Lt Governor ,,REP,Tate Reeves ,"1,070","1,030",31,9
Rankin,413 E Crossgate HD74,Lt Governor ,,LIB,Ron Williams ,34,34,0,0
Rankin,413 E Crossgate HD74,Lt Governor ,,REF,Rosa B. Williams ,11,10,1,0
Rankin,413 E Crossgate HD74,Lt Governor ,,,Write-in,2,2,0,0
Rankin,413 E Crossgate HD60,Secretary ,,DEM,Charles E. Graham ,19,16,2,1
Rankin,413 E Crossgate HD60,Secretary ,,REP,Delbert Hosemann ,181,169,10,2
Rankin,413 E Crossgate HD60,Secretary ,,REF,Randy Walker ,5,5,0,0
Rankin,413 E Crossgate HD60,Secretary ,,,Write-in,0,0,0,0
Rankin,413 E Crossgate HD74,Secretary ,,DEM,Charles E. Graham ,105,101,3,1
Rankin,413 E Crossgate HD74,Secretary ,,REP,Delbert Hosemann ,"1,178","1,134",33,11
Rankin,413 E Crossgate HD74,Secretary ,,REF,Randy Walker ,21,21,0,0
Rankin,413 E Crossgate HD74,Secretary ,,,Write-in,1,1,0,0
Rankin,413 E Crossgate HD60,Attorney ,,DEM,Jim Hood ,62,56,5,1
Rankin,413 E Crossgate HD60,Attorney ,,REP,Mike Hurst ,142,133,7,2
Rankin,413 E Crossgate HD60,Attorney ,,,Write-in,0,0,0,0
Rankin,413 E Crossgate HD60,Attorney ,,DEM,Jim Hood ,391,370,15,6
